ID    FLOW_CELL_ID   LANE   INDEX_SEQUENCE   SAMPLE_NAME                               LIBRARY_NAME                                   CLUSTERS   READ_LENGTH   BAM_PATH
--    ------------   ----   --------------   -----------                               ------------                                   --------   -----------   --------
-11   TEST1ABXX      2      -10              H_TEST-ClinSeqGenomeCommands-tumor        H_TEST-ClinSeqGenomeCommands-tumor-lib1        12345667   100           /tmp/fake-csf-dir/-11.bam
-14   TEST1ABXX      1      -13              H_TEST-ClinSeqGenomeCommands-tumor        H_TEST-ClinSeqGenomeCommands-tumor-lib2        12345664   100           /tmp/fake-csf-dir/-14.bam
-16   TEST1ABXX      2      -15              H_TEST-ClinSeqGenomeCommands-tumor        H_TEST-ClinSeqGenomeCommands-tumor-lib2        12345662   100           /tmp/fake-csf-dir/-16.bam
-19   TEST1ABXX      1      -18              H_TEST-ClinSeqGenomeCommands-tumor        H_TEST-ClinSeqGenomeCommands-tumor-lib3        12345659   100           /tmp/fake-csf-dir/-19.bam
-21   TEST1ABXX      2      -20              H_TEST-ClinSeqGenomeCommands-tumor        H_TEST-ClinSeqGenomeCommands-tumor-lib3        12345657   100           /tmp/fake-csf-dir/-21.bam
-24   TEST1ABXX      1      -23              H_TEST-ClinSeqGenomeCommands-normal       H_TEST-ClinSeqGenomeCommands-normal-lib1       12345654   100           /tmp/fake-csf-dir/-24.bam
-26   TEST1ABXX      2      -25              H_TEST-ClinSeqGenomeCommands-normal       H_TEST-ClinSeqGenomeCommands-normal-lib1       12345652   100           /tmp/fake-csf-dir/-26.bam
-29   TEST1ABXX      1      -28              H_TEST-ClinSeqGenomeCommands-normal       H_TEST-ClinSeqGenomeCommands-normal-lib2       12345649   100           /tmp/fake-csf-dir/-29.bam
-31   TEST1ABXX      2      -30              H_TEST-ClinSeqGenomeCommands-normal       H_TEST-ClinSeqGenomeCommands-normal-lib2       12345647   100           /tmp/fake-csf-dir/-31.bam
-34   TEST1ABXX      1      -33              H_TEST-ClinSeqGenomeCommands-normal       H_TEST-ClinSeqGenomeCommands-normal-lib3       12345644   100           /tmp/fake-csf-dir/-34.bam
-36   TEST1ABXX      2      -35              H_TEST-ClinSeqGenomeCommands-normal       H_TEST-ClinSeqGenomeCommands-normal-lib3       12345642   100           /tmp/fake-csf-dir/-36.bam
-39   TEST1ABXX      1      -38              H_TEST-ClinSeqGenomeCommands-tumor_cdna   H_TEST-ClinSeqGenomeCommands-tumor_cdna-lib1   12345639   100           /tmp/fake-csf-dir/-39.bam
-41   TEST1ABXX      2      -40              H_TEST-ClinSeqGenomeCommands-tumor_cdna   H_TEST-ClinSeqGenomeCommands-tumor_cdna-lib1   12345637   100           /tmp/fake-csf-dir/-41.bam
-44   TEST1ABXX      1      -43              H_TEST-ClinSeqGenomeCommands-tumor_cdna   H_TEST-ClinSeqGenomeCommands-tumor_cdna-lib2   12345634   100           /tmp/fake-csf-dir/-44.bam
-46   TEST1ABXX      2      -45              H_TEST-ClinSeqGenomeCommands-tumor_cdna   H_TEST-ClinSeqGenomeCommands-tumor_cdna-lib2   12345632   100           /tmp/fake-csf-dir/-46.bam
-49   TEST1ABXX      1      -48              H_TEST-ClinSeqGenomeCommands-tumor_cdna   H_TEST-ClinSeqGenomeCommands-tumor_cdna-lib3   12345629   100           /tmp/fake-csf-dir/-49.bam
-51   TEST1ABXX      2      -50              H_TEST-ClinSeqGenomeCommands-tumor_cdna   H_TEST-ClinSeqGenomeCommands-tumor_cdna-lib3   12345627   100           /tmp/fake-csf-dir/-51.bam
-9    TEST1ABXX      1      -8               H_TEST-ClinSeqGenomeCommands-tumor        H_TEST-ClinSeqGenomeCommands-tumor-lib1        12345669   100           /tmp/fake-csf-dir/-9.bam
