## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/gscmnt/gc2585/fulton/model_data/86224893b8cc42a0850c09750a07876f/build20609d4f862941ea99d373c0f37344f4/results/tmp6TzJ6j/stg2ab888e7-bc07-48e5-8895-750174cbaf45/MDS_Project_12980977_tiled_region.interval_list] TARGET_INTERVALS=[/gscmnt/gc2585/fulton/model_data/86224893b8cc42a0850c09750a07876f/build20609d4f862941ea99d373c0f37344f4/results/tmp6TzJ6j/stge69d8794-64bd-4be3-b0b0-56500a7b25cf/MDS_Project_12980977_target_region.interval_list] INPUT=/gscmnt/gc2585/fulton/model_data/86224893b8cc42a0850c09750a07876f/build20609d4f862941ea99d373c0f37344f4/results/tmp6TzJ6j/stg24b1d9d7-3b9e-48ab-8a19-be0acf40debc/final.cram OUTPUT=/gscmnt/gc2585/fulton/model_data/86224893b8cc42a0850c09750a07876f/build20609d4f862941ea99d373c0f37344f4/results/tmpThEzTk/HsMetrics.txt PER_TARGET_COVERAGE=PerTargetCoverage.txt REFERENCE_SEQUENCE=/gscmnt/gc2560/core/model_data/2887491634/build50f99e75d14340ffb5b7d21b03887637/all_sequences.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 02 21:10:03 CDT 2017

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
MDS_Project_12980977_tiled_region	3217346917	302113	237088	0.784766	5828046	5828046	4839536	1	0.830387	4838748	0.999837	840482742	697750536	597352469	156585539	86544734	263257340	0.89703	0.10297	0.79231	1977.248477	1110.378172	200	2433	0.678783	0.299144	7568.85772	0.009641	0.169822	0.018001	0.003497	0.245323	0.562954	5.551891	0.987827	0.986545	0.984795	0.983816	0.983318	0.982812	0.982234	0.980897	6468354	14.83169	14.962605	15.093521	15.224436	15.372807	16.105933	12.335302	0.205568	0.986026	19			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	2886	0
1	304	0
2	89	0
3	38	424
4	52	8002
5	43	38885
6	50	29821
7	70	0
8	18	0
9	55	0
10	32	398812
11	32	0
12	24	0
13	38	0
14	26	0
15	21	0
16	8	0
17	16	0
18	18	0
19	17	0
20	20	872747
21	17	0
22	12	0
23	9	0
24	12	0
25	10	0
26	10	0
27	10	0
28	8	0
29	10	0
30	14	45151785
31	6	0
32	12	0
33	17	0
34	9	0
35	12	0
36	16	0
37	12	0
38	9	0
39	13	0
40	9	0
41	18	0
42	16	0
43	20	0
44	18	0
45	26	0
46	7	0
47	9	0
48	5	0
49	9	0
50	6	0
51	4	0
52	4	0
53	6	0
54	5	0
55	7	0
56	4	0
57	3	0
58	11	0
59	4	0
60	13	0
61	11	0
62	7	0
63	1	0
64	7	0
65	8	0
66	8	0
67	6	0
68	7	0
69	11	0
70	9	0
71	4	0
72	8	0
73	5	0
74	11	0
75	10	0
76	6	0
77	4	0
78	8	0
79	8	0
80	5	0
81	4	0
82	7	0
83	3	0
84	6	0
85	6	0
86	2	0
87	13	0
88	12	0
89	1	0
90	2	0
91	4	0
92	2	0
93	8	0
94	1	0
95	6	0
96	8	0
97	8	0
98	10	0
99	3	0
100	6	0
101	7	0
102	7	0
103	10	0
104	7	0
105	4	0
106	4	0
107	5	0
108	2	0
109	3	0
110	8	0
111	5	0
112	14	0
113	9	0
114	12	0
115	12	0
116	13	0
117	8	0
118	13	0
119	5	0
120	8	0
121	4	0
122	6	0
123	5	0
124	6	0
125	7	0
126	5	0
127	7	0
128	9	0
129	6	0
130	8	0
131	6	0
132	8	0
133	7	0
134	6	0
135	7	0
136	6	0
137	6	0
138	14	0
139	7	0
140	9	0
141	9	0
142	10	0
143	9	0
144	11	0
145	14	0
146	11	0
147	15	0
148	11	0
149	11	0
150	20	0
151	18	0
152	16	0
153	12	0
154	18	0
155	17	0
156	27	0
157	28	0
158	37	0
159	26	0
160	19	0
161	14	0
162	22	0
163	14	0
164	21	0
165	18	0
166	20	0
167	22	0
168	25	0
169	20	0
170	19	0
171	19	0
172	11	0
173	15	0
174	22	0
175	18	0
176	20	0
177	27	0
178	24	0
179	20	0
180	15	0
181	29	0
182	30	0
183	30	0
184	23	0
185	19	0
186	23	0
187	19	0
188	23	0
189	22	0
190	26	0
191	34	0
192	27	0
193	26	0
194	32	0
195	22	0
196	28	0
197	21	0
198	17	0
199	31	0
200	231051	0

