## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/gscmnt/gc2585/fulton/model_data/de3311db03914d7ca20b0f9813242a82/build22957299870044c696268866a922ed24/results/tmpzZnFRE/stge7e0d86e-2532-4a3f-9dad-def98414efd6/MDS_Project_12980977_tiled_region.interval_list] TARGET_INTERVALS=[/gscmnt/gc2585/fulton/model_data/de3311db03914d7ca20b0f9813242a82/build22957299870044c696268866a922ed24/results/tmpzZnFRE/stg88dc9d41-378f-4d38-86d0-2cde35b478d9/MDS_Project_12980977_target_region.interval_list] INPUT=/gscmnt/gc2585/fulton/model_data/de3311db03914d7ca20b0f9813242a82/build22957299870044c696268866a922ed24/results/tmpzZnFRE/stg98c975bd-6105-48d6-8aa8-600a93ac7e8d/final.cram OUTPUT=/gscmnt/gc2585/fulton/model_data/de3311db03914d7ca20b0f9813242a82/build22957299870044c696268866a922ed24/results/tmpzPFjjJ/HsMetrics.txt PER_TARGET_COVERAGE=PerTargetCoverage.txt REFERENCE_SEQUENCE=/gscmnt/gc2560/core/model_data/2887491634/build50f99e75d14340ffb5b7d21b03887637/all_sequences.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 02 21:00:13 CDT 2017

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
MDS_Project_12980977_tiled_region	3217346917	302113	237088	0.784766	5823704	5823704	4555920	1	0.782306	4554754	0.999744	836540177	654223333	592285604	153693654	90560919	242561607	0.891743	0.108257	0.793971	1960.477053	1023.086816	200	2561	0.673527	0.275833	7540.026142	0.007888	0.217942	0.020098	0.002922	0.232288	0.526049	5.115434	0.988532	0.98754	0.986313	0.985465	0.984887	0.984499	0.98401	0.982268	4766190	13.939525	14.092293	14.252335	14.397829	14.572421	15.4803	14.210177	0.370189	0.987058	19			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	2719	0
1	235	0
2	78	0
3	50	56
4	58	2879
5	14	17378
6	36	48101
7	32	0
8	6	0
9	17	0
10	24	359286
11	33	0
12	29	0
13	11	0
14	15	0
15	8	0
16	17	0
17	25	0
18	21	0
19	18	0
20	12	890924
21	10	0
22	11	0
23	12	0
24	17	0
25	15	0
26	12	0
27	12	0
28	27	0
29	9	0
30	11	45241875
31	7	0
32	9	0
33	8	0
34	3	0
35	10	0
36	5	0
37	12	0
38	14	0
39	13	0
40	11	0
41	9	0
42	6	0
43	8	0
44	15	0
45	10	0
46	9	0
47	11	0
48	21	0
49	16	0
50	27	0
51	11	0
52	7	0
53	8	0
54	11	0
55	15	0
56	9	0
57	10	0
58	16	0
59	22	0
60	15	0
61	9	0
62	9	0
63	5	0
64	7	0
65	6	0
66	3	0
67	4	0
68	6	0
69	6	0
70	8	0
71	3	0
72	6	0
73	6	0
74	5	0
75	5	0
76	6	0
77	8	0
78	9	0
79	5	0
80	3	0
81	8	0
82	8	0
83	6	0
84	11	0
85	9	0
86	8	0
87	9	0
88	5	0
89	6	0
90	4	0
91	7	0
92	11	0
93	10	0
94	4	0
95	11	0
96	5	0
97	9	0
98	5	0
99	7	0
100	6	0
101	8	0
102	13	0
103	9	0
104	10	0
105	8	0
106	9	0
107	9	0
108	10	0
109	6	0
110	8	0
111	12	0
112	9	0
113	4	0
114	7	0
115	12	0
116	13	0
117	18	0
118	17	0
119	13	0
120	9	0
121	12	0
122	9	0
123	10	0
124	15	0
125	11	0
126	17	0
127	7	0
128	9	0
129	18	0
130	16	0
131	13	0
132	9	0
133	8	0
134	6	0
135	10	0
136	5	0
137	11	0
138	10	0
139	11	0
140	12	0
141	16	0
142	8	0
143	10	0
144	10	0
145	11	0
146	11	0
147	9	0
148	12	0
149	16	0
150	14	0
151	16	0
152	21	0
153	23	0
154	17	0
155	10	0
156	16	0
157	25	0
158	21	0
159	21	0
160	26	0
161	23	0
162	21	0
163	24	0
164	12	0
165	16	0
166	18	0
167	16	0
168	14	0
169	16	0
170	14	0
171	23	0
172	19	0
173	14	0
174	23	0
175	11	0
176	28	0
177	27	0
178	14	0
179	33	0
180	22	0
181	28	0
182	27	0
183	31	0
184	21	0
185	26	0
186	30	0
187	33	0
188	30	0
189	19	0
190	32	0
191	37	0
192	26	0
193	36	0
194	34	0
195	25	0
196	34	0
197	39	0
198	55	0
199	61	0
200	231130	0

