## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/gscmnt/gc2585/fulton/model_data/de3311db03914d7ca20b0f9813242a82/build22957299870044c696268866a922ed24/results/tmp53wInL/InsertSizeHistogram.pdf INPUT=/gscmnt/gc2585/fulton/model_data/de3311db03914d7ca20b0f9813242a82/build22957299870044c696268866a922ed24/results/tmpfTvBQD/stg4d3b90c6-a6c5-4096-af26-5fbe1378813e/final.cram OUTPUT=/gscmnt/gc2585/fulton/model_data/de3311db03914d7ca20b0f9813242a82/build22957299870044c696268866a922ed24/results/tmp53wInL/InsertSizeMetrics.txt REFERENCE_SEQUENCE=/gscmnt/gc2560/core/model_data/2887491634/build50f99e75d14340ffb5b7d21b03887637/all_sequences.fa    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 02 20:58:49 CDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
191	49	2	242324216	205.096306	76.721296	2254120	FR	19	39	59	77	99	121	145	175	241	493			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	2
3	1
5	1
6	1
7	1
11	1
14	1
17	3
19	15
20	12
21	12
22	6
23	15
24	3
25	7
26	1
27	3
28	12
29	4
30	8
31	1
32	5
33	2
34	5
35	4
36	4
37	8
38	2
39	5
40	12
41	7
42	6
43	9
44	8
45	9
46	13
47	12
48	16
49	15
50	13
51	17
52	20
53	28
54	33
55	32
56	44
57	54
58	52
59	44
60	56
61	84
62	87
63	116
64	125
65	124
66	167
67	179
68	209
69	229
70	226
71	295
72	370
73	390
74	463
75	576
76	610
77	629
78	794
79	908
80	936
81	1074
82	1180
83	1329
84	1433
85	1581
86	1737
87	1863
88	2201
89	2362
90	2489
91	2616
92	2924
93	3236
94	3453
95	3655
96	4034
97	4294
98	4574
99	4972
100	5143
101	5311
102	5802
103	6059
104	6314
105	6683
106	6967
107	7227
108	7589
109	7834
110	8180
111	8432
112	8832
113	9030
114	9308
115	9478
116	9809
117	10001
118	10215
119	10340
120	10703
121	10744
122	10931
123	11186
124	11283
125	11428
126	11826
127	12101
128	11879
129	12205
130	12330
131	12287
132	12454
133	12577
134	12859
135	12768
136	12929
137	13045
138	12790
139	13187
140	12985
141	13067
142	13263
143	13295
144	13146
145	13231
146	13408
147	13558
148	13154
149	13503
150	13458
151	13445
152	13613
153	13522
154	13596
155	13501
156	13412
157	13373
158	13414
159	13410
160	13448
161	13532
162	13576
163	13252
164	13200
165	13285
166	13085
167	13148
168	13095
169	13195
170	13195
171	12900
172	12999
173	13024
174	12881
175	12817
176	12917
177	12788
178	12834
179	12570
180	12919
181	12579
182	12703
183	12239
184	12340
185	12471
186	12326
187	12334
188	12154
189	12055
190	12158
191	11907
192	11994
193	11681
194	11609
195	11719
196	11571
197	11346
198	11434
199	11272
200	11185
201	11261
202	11267
203	11215
204	11014
205	11012
206	11053
207	11041
208	10837
209	10680
210	10611
211	10528
212	10590
213	10398
214	10183
215	10155
216	9919
217	9959
218	10093
219	9689
220	9790
221	9521
222	9579
223	9348
224	9543
225	9480
226	9350
227	9325
228	9246
229	9158
230	8896
231	8843
232	8733
233	8511
234	8584
235	8530
236	8417
237	8469
238	8343
239	8266
240	8306
241	8104
242	8117
243	7965
244	7759
245	7647
246	7756
247	7658
248	7543
249	7475
250	7268
251	7443
252	7190
253	7157
254	7234
255	6851
256	6907
257	6829
258	6726
259	6805
260	6754
261	6671
262	6616
263	6504
264	6449
265	6305
266	6224
267	6276
268	6095
269	6062
270	5968
271	5772
272	5775
273	5731
274	5833
275	5603
276	5511
277	5581
278	5461
279	5385
280	5325
281	5189
282	5210
283	5113
284	4986
285	4995
286	4922
287	4951
288	4846
289	4831
290	4754
291	4592
292	4634
293	4475
294	4512
295	4259
296	4290
297	4252
298	4242
299	4099
300	4101
301	4009
302	3980
303	3938
304	3889
305	3898
306	3776
307	3800
308	3580
309	3542
310	3510
311	3647
312	3482
313	3431
314	3388
315	3410
316	3375
317	3301
318	3252
319	3214
320	3222
321	3037
322	3033
323	3139
324	2967
325	2943
326	2978
327	2910
328	2884
329	2763
330	2717
331	2689
332	2666
333	2649
334	2582
335	2610
336	2470
337	2555
338	2373
339	2421
340	2338
341	2289
342	2269
343	2310
344	2243
345	2147
346	2200
347	2160
348	2112
349	2172
350	1955
351	1965
352	1966
353	1934
354	1911
355	1914
356	1848
357	1827
358	1880
359	1745
360	1763
361	1742
362	1699
363	1704
364	1693
365	1636
366	1600
367	1534
368	1527
369	1519
370	1549
371	1455
372	1397
373	1423
374	1419
375	1348
376	1354
377	1347
378	1294
379	1350
380	1284
381	1249
382	1175
383	1184
384	1240
385	1166
386	1125
387	1103
388	1082
389	1155
390	1040
391	1030
392	1029
393	1031
394	934
395	966
396	1037
397	957
398	930
399	869
400	884
401	911
402	906
403	842
404	820
405	807
406	831
407	819
408	784
409	721
410	710
411	736
412	712
413	679
414	735
415	695
416	685
417	654
418	638
419	681
420	667
421	608
422	592
423	605
424	579
425	555
426	563
427	520
428	553
429	525
430	548
431	527
432	464
433	469
434	520
435	470
436	490
437	443
438	493
439	428
440	406
441	383
442	388
443	367
444	365
445	430
446	356
447	424
448	375
449	392
450	359
451	327
452	326
453	329
454	337
455	311
456	338
457	332
458	312
459	312
460	312
461	277
462	273
463	280
464	280
465	235
466	246
467	247
468	247
469	237
470	230
471	232
472	251
473	214
474	217
475	205
476	202
477	211
478	211
479	208
480	184
481	180
482	192
483	169
484	179
485	190
486	174
487	151
488	158
489	149
490	143
491	136
492	131
493	127
494	142
495	148
496	129
497	135
498	125
499	136
500	125
501	129
502	140
503	106
504	129
505	126
506	118
507	124
508	107
509	90
510	116
511	112
512	90
513	106
514	101
515	97
516	73
517	76
518	85
519	89
520	80
521	78
522	86
523	72
524	81
525	96
526	71
527	70
528	72
529	68
530	70
531	61
532	66
533	58
534	58
535	49
536	71
537	61
538	56
539	51
540	52
541	49
542	56
543	52
544	57
545	53
546	51
547	41
548	51
549	48
550	34
551	33
552	26
553	41
554	31
555	36
556	35
557	45
558	41
559	33
560	28
561	21
562	21
563	29
564	20
565	25
566	28
567	25
568	29
569	29
570	26
571	26
572	22
573	28
574	26
575	27
576	22
577	26
578	19
579	15
580	19
581	26
582	27
583	19
584	20
585	23
586	19
587	17
588	15
589	17
590	13
591	14
592	17
593	15
594	15
595	12
596	17
597	11
598	19
599	11
600	10
601	14
602	8
603	12
604	8
605	10
606	4
607	9
608	10
609	14
