## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/gscmnt/gc2585/fulton/model_data/6369bdcb5b4c4ae48f388620d0311588/build1fc2377a9ba04692a78e148b35f1e351/results/tmpk2DQNd/stg8cda671b-b955-4a84-866c-70affd3d5b9e/MDS_Project_12980977_tiled_region.interval_list] TARGET_INTERVALS=[/gscmnt/gc2585/fulton/model_data/6369bdcb5b4c4ae48f388620d0311588/build1fc2377a9ba04692a78e148b35f1e351/results/tmpk2DQNd/stg630fd92c-f476-4853-a49a-13f0db7bb03d/MDS_Project_12980977_target_region.interval_list] INPUT=/gscmnt/gc2585/fulton/model_data/6369bdcb5b4c4ae48f388620d0311588/build1fc2377a9ba04692a78e148b35f1e351/results/tmpk2DQNd/stg02a37801-be63-4e3d-9799-b9e768d5c974/final.cram OUTPUT=/gscmnt/gc2585/fulton/model_data/6369bdcb5b4c4ae48f388620d0311588/build1fc2377a9ba04692a78e148b35f1e351/results/tmptudwcM/HsMetrics.txt PER_TARGET_COVERAGE=PerTargetCoverage.txt REFERENCE_SEQUENCE=/gscmnt/gc2560/core/model_data/2887491634/build50f99e75d14340ffb5b7d21b03887637/all_sequences.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 02 21:13:13 CDT 2017

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
MDS_Project_12980977_tiled_region	3217346917	302113	237088	0.784766	5831212	5831212	4722328	1	0.809836	4720442	0.999601	822359204	665802138	610777183	131776947	79805074	240613318	0.902956	0.097044	0.822536	2021.684545	1014.869238	200	2547	0.693661	0.273265	7909.512664	0.007011	0.190376	0.017528	0.002508	0.290867	0.497452	5.074346	0.987511	0.986549	0.984976	0.98431	0.983867	0.983179	0.982563	0.980547	5726490	14.175239	14.303436	14.431632	14.581194	14.739303	15.525573	14.216522	0.131852	0.985925	19			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	2961	0
1	228	0
2	111	0
3	71	228
4	41	4722
5	31	20605
6	29	20825
7	21	0
8	48	0
9	21	0
10	11	257932
11	27	0
12	28	0
13	10	0
14	14	0
15	6	0
16	19	0
17	15	0
18	18	0
19	10	0
20	17	600210
21	10	0
22	14	0
23	14	0
24	13	0
25	9	0
26	13	0
27	5	0
28	3	0
29	7	0
30	13	45567255
31	11	0
32	15	0
33	9	0
34	22	0
35	23	0
36	30	0
37	19	0
38	15	0
39	6	0
40	12	0
41	11	0
42	10	0
43	19	0
44	13	0
45	15	0
46	24	0
47	12	0
48	11	0
49	19	0
50	15	0
51	17	0
52	10	0
53	14	0
54	19	0
55	13	0
56	21	0
57	25	0
58	20	0
59	17	0
60	11	0
61	6	0
62	12	0
63	13	0
64	6	0
65	7	0
66	7	0
67	7	0
68	3	0
69	6	0
70	7	0
71	3	0
72	6	0
73	7	0
74	12	0
75	8	0
76	7	0
77	9	0
78	7	0
79	7	0
80	9	0
81	11	0
82	6	0
83	16	0
84	18	0
85	12	0
86	7	0
87	3	0
88	4	0
89	6	0
90	7	0
91	6	0
92	4	0
93	8	0
94	6	0
95	4	0
96	7	0
97	6	0
98	6	0
99	10	0
100	7	0
101	6	0
102	8	0
103	8	0
104	9	0
105	8	0
106	9	0
107	7	0
108	10	0
109	7	0
110	9	0
111	7	0
112	9	0
113	7	0
114	15	0
115	8	0
116	8	0
117	11	0
118	10	0
119	11	0
120	16	0
121	8	0
122	6	0
123	4	0
124	8	0
125	12	0
126	12	0
127	9	0
128	10	0
129	15	0
130	18	0
131	14	0
132	16	0
133	17	0
134	19	0
135	15	0
136	19	0
137	15	0
138	20	0
139	11	0
140	17	0
141	13	0
142	16	0
143	12	0
144	12	0
145	13	0
146	17	0
147	21	0
148	19	0
149	20	0
150	22	0
151	30	0
152	14	0
153	19	0
154	14	0
155	25	0
156	28	0
157	23	0
158	31	0
159	29	0
160	33	0
161	28	0
162	28	0
163	27	0
164	29	0
165	29	0
166	32	0
167	36	0
168	37	0
169	23	0
170	31	0
171	17	0
172	28	0
173	20	0
174	23	0
175	31	0
176	38	0
177	35	0
178	39	0
179	31	0
180	42	0
181	36	0
182	40	0
183	52	0
184	46	0
185	44	0
186	47	0
187	43	0
188	53	0
189	44	0
190	37	0
191	57	0
192	57	0
193	53	0
194	46	0
195	50	0
196	45	0
197	50	0
198	63	0
199	50	0
200	230093	0

