## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/gscmnt/gc2585/fulton/model_data/6369bdcb5b4c4ae48f388620d0311588/build1fc2377a9ba04692a78e148b35f1e351/results/tmpWOeZ88/InsertSizeHistogram.pdf INPUT=/gscmnt/gc2585/fulton/model_data/6369bdcb5b4c4ae48f388620d0311588/build1fc2377a9ba04692a78e148b35f1e351/results/tmprVGahs/stgca209986-10d4-46f7-a821-bdfe5ce9431c/final.cram OUTPUT=/gscmnt/gc2585/fulton/model_data/6369bdcb5b4c4ae48f388620d0311588/build1fc2377a9ba04692a78e148b35f1e351/results/tmpWOeZ88/InsertSizeMetrics.txt REFERENCE_SEQUENCE=/gscmnt/gc2560/core/model_data/2887491634/build50f99e75d14340ffb5b7d21b03887637/all_sequences.fa    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 02 21:13:13 CDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
168	37	3	189125562	179.054719	58.712828	2341930	FR	15	29	45	59	75	91	111	135	185	379			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
3	1
10	3
19	15
20	8
21	5
22	6
23	5
24	5
25	3
26	3
27	5
28	4
29	5
30	5
31	4
32	3
33	5
34	4
35	11
36	3
37	4
38	10
39	4
40	4
41	9
42	5
43	5
44	7
45	5
46	13
47	12
48	9
49	10
50	14
51	8
52	20
53	16
54	21
55	26
56	30
57	32
58	41
59	48
60	38
61	57
62	66
63	75
64	97
65	108
66	141
67	132
68	173
69	225
70	266
71	290
72	332
73	397
74	485
75	540
76	610
77	746
78	873
79	997
80	1085
81	1258
82	1488
83	1554
84	1823
85	2018
86	2274
87	2544
88	2786
89	3121
90	3384
91	3552
92	4010
93	4462
94	4786
95	5273
96	5592
97	5928
98	6511
99	7016
100	7347
101	7796
102	8218
103	8762
104	9128
105	9782
106	10308
107	10409
108	11318
109	11532
110	12012
111	12507
112	12610
113	13202
114	13673
115	14107
116	14488
117	14656
118	15356
119	15473
120	15889
121	16302
122	16277
123	16534
124	16881
125	17095
126	17345
127	17434
128	17453
129	17783
130	17735
131	17870
132	18273
133	18175
134	18095
135	18261
136	18339
137	18533
138	18438
139	18553
140	18308
141	18544
142	18472
143	18492
144	18562
145	18436
146	18411
147	18362
148	18187
149	18246
150	18283
151	18169
152	17948
153	17932
154	18326
155	17917
156	17761
157	17438
158	17486
159	17545
160	17254
161	17225
162	17196
163	17083
164	16960
165	16875
166	16819
167	16443
168	16498
169	16456
170	16416
171	16053
172	16182
173	15818
174	15958
175	15413
176	15427
177	15384
178	15174
179	14820
180	14909
181	14816
182	14490
183	14474
184	14194
185	14140
186	14173
187	13820
188	13577
189	13603
190	13483
191	13381
192	12939
193	13043
194	12894
195	12582
196	12751
197	12412
198	12146
199	12226
200	11797
201	11963
202	11586
203	11347
204	11475
205	11171
206	11273
207	10981
208	10929
209	10653
210	10492
211	10390
212	10365
213	10171
214	9848
215	9976
216	9618
217	9474
218	9311
219	9189
220	9050
221	8852
222	8954
223	8727
224	8736
225	8454
226	8324
227	8148
228	8209
229	8120
230	7743
231	7833
232	7579
233	7614
234	7445
235	7393
236	7183
237	7145
238	6881
239	6793
240	6713
241	6711
242	6611
243	6360
244	6284
245	6238
246	6111
247	6059
248	5983
249	5915
250	5538
251	5639
252	5590
253	5404
254	5343
255	5262
