## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/gscmnt/gc2585/fulton/model_data/86224893b8cc42a0850c09750a07876f/build20609d4f862941ea99d373c0f37344f4/results/tmpVG_SBj/InsertSizeHistogram.pdf INPUT=/gscmnt/gc2585/fulton/model_data/86224893b8cc42a0850c09750a07876f/build20609d4f862941ea99d373c0f37344f4/results/tmpl_W_Gg/stga68ab989-85a6-4d79-afa2-f8eacee13752/final.cram OUTPUT=/gscmnt/gc2585/fulton/model_data/86224893b8cc42a0850c09750a07876f/build20609d4f862941ea99d373c0f37344f4/results/tmpVG_SBj/InsertSizeMetrics.txt REFERENCE_SEQUENCE=/gscmnt/gc2560/core/model_data/2887491634/build50f99e75d14340ffb5b7d21b03887637/all_sequences.fa    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 02 21:10:07 CDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
193	48	2	230622721	206.885387	76.14443	2396827	FR	19	39	57	77	97	119	143	175	239	489			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	1
3	2
7	1
8	1
9	1
11	1
13	1
14	2
18	1
19	11
20	11
21	11
22	3
23	2
24	2
25	3
26	1
27	3
28	4
29	3
30	2
31	3
32	5
33	4
34	5
35	3
36	7
37	4
38	3
39	4
40	4
41	6
42	4
43	8
44	9
45	10
46	7
47	6
48	13
49	18
50	24
51	19
52	17
53	29
54	21
55	27
56	35
57	45
58	61
59	46
60	59
61	80
62	91
63	91
64	104
65	150
66	149
67	174
68	220
69	202
70	235
71	269
72	351
73	367
74	425
75	473
76	509
77	592
78	643
79	739
80	800
81	923
82	1052
83	1124
84	1282
85	1408
86	1457
87	1748
88	1823
89	2062
90	2251
91	2417
92	2749
93	2791
94	3007
95	3254
96	3528
97	3906
98	4226
99	4347
100	4813
101	4958
102	5270
103	5598
104	5975
105	6375
106	6754
107	6932
108	7236
109	7528
110	7838
111	8278
112	8593
113	8692
114	9092
115	9287
116	9768
117	9970
118	10265
119	10516
120	10797
121	11024
122	11308
123	11414
124	11608
125	11716
126	11881
127	12052
128	12254
129	12482
130	12698
131	12532
132	13000
133	13088
134	13310
135	13127
136	13309
137	13302
138	13619
139	13732
140	13748
141	13612
142	13831
143	14064
144	14003
145	13970
146	14124
147	14011
148	14286
149	14173
150	14313
151	14283
152	14225
153	14520
154	14442
155	14242
156	14444
157	14545
158	14317
159	14541
160	14393
161	14593
162	14395
163	14461
164	14228
165	14260
166	14313
167	14443
168	14421
169	14050
170	14204
171	14248
172	14236
173	14009
174	14176
175	13931
176	13966
177	14092
178	13863
179	14034
180	13598
181	13763
182	13729
183	13387
184	13474
185	13440
186	13278
187	13368
188	13329
189	13196
190	13104
191	13049
192	13039
193	12623
194	12987
195	12718
196	12600
197	12700
198	12535
199	12343
200	12494
201	12342
202	12096
203	12143
204	11928
205	11918
206	11923
207	11703
208	11714
209	11644
210	11539
211	11307
212	11299
213	11379
214	10965
215	11022
216	10860
217	10936
218	10867
219	10742
220	10481
221	10488
222	10470
223	10413
224	10271
225	10168
226	10189
227	10204
228	9820
229	9795
230	9697
231	9619
232	9469
233	9346
234	9396
235	9298
236	9233
237	9177
238	9187
239	9005
240	9023
241	8814
242	8703
243	8679
244	8480
245	8418
246	8298
247	8281
248	8267
249	8122
250	8020
251	7928
252	8047
253	7965
254	7565
255	7581
256	7477
257	7491
258	7353
259	7414
260	7251
261	7214
262	6989
263	6937
264	6870
265	6955
266	6689
267	6612
268	6686
269	6363
270	6522
271	6435
272	6431
273	6179
274	6182
275	6095
276	5990
277	6163
278	6015
279	5749
280	5763
281	5541
282	5522
283	5508
284	5561
285	5389
286	5296
287	5372
288	5210
289	5139
290	5085
291	4971
292	4966
293	4942
294	4771
295	4788
296	4770
297	4709
298	4598
299	4540
300	4525
301	4564
302	4300
303	4352
304	4225
305	4177
306	4141
307	4067
308	4081
309	4080
310	3885
311	4002
312	3784
313	3801
314	3663
315	3767
316	3621
317	3575
318	3512
319	3418
320	3480
321	3410
322	3283
323	3126
324	3264
325	3084
326	3153
327	3071
328	3039
329	3054
330	3054
331	2923
332	2908
333	2757
334	2803
335	2803
336	2624
337	2505
338	2684
339	2575
340	2543
341	2572
342	2413
343	2448
344	2416
345	2449
346	2350
347	2351
348	2370
349	2250
350	2125
351	2135
352	2107
353	2125
354	2051
355	2071
356	2025
357	1980
358	1977
359	1887
360	1892
361	1853
362	1815
363	1812
364	1789
365	1775
366	1768
367	1691
368	1731
369	1684
370	1629
371	1605
372	1626
373	1555
374	1508
375	1488
376	1538
377	1411
378	1441
379	1352
380	1364
381	1365
382	1334
383	1324
384	1343
385	1278
386	1237
387	1255
388	1206
389	1167
390	1148
391	1131
392	1052
393	1106
394	1117
395	1039
396	1076
397	977
398	1035
399	949
400	972
401	998
402	885
403	923
404	899
405	888
406	884
407	860
408	904
409	804
410	835
411	792
412	797
413	749
414	721
415	766
416	777
417	756
418	680
419	700
420	725
421	668
422	614
423	645
424	632
425	569
426	573
427	582
428	561
429	568
430	613
431	521
432	601
433	523
434	475
435	479
436	514
437	492
438	486
439	471
440	470
441	460
442	437
443	431
444	408
445	410
446	407
447	397
448	362
449	374
450	376
451	393
452	393
453	370
454	371
455	360
456	323
457	302
458	309
459	324
460	313
461	297
462	329
463	255
464	308
465	306
466	302
467	247
468	232
469	232
470	243
471	245
472	227
473	226
474	243
475	237
476	202
477	219
478	190
479	194
480	183
481	204
482	184
483	180
484	190
485	173
486	193
487	182
488	172
489	140
490	149
491	167
492	152
493	161
494	169
495	144
496	143
497	147
498	133
499	149
500	134
501	128
502	127
503	115
504	126
505	119
506	110
507	107
508	102
509	97
510	121
511	125
512	97
513	102
514	84
515	96
516	91
517	86
518	85
519	85
520	85
521	83
522	79
523	80
524	84
525	64
526	74
527	71
528	70
529	65
530	87
531	55
532	64
533	51
534	80
535	55
536	71
537	64
538	63
539	53
540	59
541	52
542	57
543	42
544	53
545	45
546	43
547	40
548	41
549	42
550	41
551	47
552	45
553	37
554	25
555	37
556	39
557	38
558	39
559	38
560	44
561	46
562	31
563	31
564	21
565	34
566	33
567	18
568	24
569	22
570	24
571	23
572	19
573	28
574	21
575	23
576	18
577	23
578	22
579	18
580	24
581	29
582	28
583	23
584	14
585	25
586	15
587	29
588	14
589	20
590	10
591	22
592	16
593	14
594	9
595	14
596	18
597	11
598	14
599	12
600	13
601	10
602	10
603	13
604	17
605	15
606	10
607	7
608	10
609	8
610	5
611	10
612	12
613	11
614	7
615	9
616	7
617	4
618	9
619	8
620	5
621	11
622	14
623	13
624	4
625	10
626	10
627	4
628	5
629	9
630	8
631	6
632	6
633	7
634	6
635	11
636	4
637	9
638	4
639	1
640	11
641	5
642	4
643	7
644	5
645	3
646	1
647	1
648	6
649	4
650	6
651	4
652	3
653	3
654	4
655	8
656	5
657	3
658	3
659	4
660	1
661	2
662	2
663	2
664	3
665	1
666	3
667	4
668	2
669	1
670	4
671	1
672	2
673	3

