## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/gscmnt/gc2585/fulton/model_data/4296a7bf70ef434e9e22fa872e39ac80/build49f0d22e06294f64a445441cde0e6a86/results/tmpzGvAMg/stg3129ca54-8355-40ef-9a1a-7d95f38fc3aa/MDS_Project_12980977_tiled_region.interval_list] TARGET_INTERVALS=[/gscmnt/gc2585/fulton/model_data/4296a7bf70ef434e9e22fa872e39ac80/build49f0d22e06294f64a445441cde0e6a86/results/tmpzGvAMg/stgac5941e4-141a-44f7-8338-9ad3273b1755/MDS_Project_12980977_target_region.interval_list] INPUT=/gscmnt/gc2585/fulton/model_data/4296a7bf70ef434e9e22fa872e39ac80/build49f0d22e06294f64a445441cde0e6a86/results/tmpzGvAMg/stg8e81af4d-7963-4486-b9fc-9054354e523a/final.cram OUTPUT=/gscmnt/gc2585/fulton/model_data/4296a7bf70ef434e9e22fa872e39ac80/build49f0d22e06294f64a445441cde0e6a86/results/tmpFCBVxX/HsMetrics.txt PER_TARGET_COVERAGE=PerTargetCoverage.txt REFERENCE_SEQUENCE=/gscmnt/gc2560/core/model_data/2887491634/build50f99e75d14340ffb5b7d21b03887637/all_sequences.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 02 21:13:34 CDT 2017

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
MDS_Project_12980977_tiled_region	3217346917	302113	237088	0.784766	5828150	5828150	4105420	1	0.704412	4101151	0.99896	828800556	582721629	604647721	137961641	86191194	207604500	0.896005	0.103995	0.81422	2001.395905	875.643221	200	2081	0.68706	0.235901	7769.281641	0.007888	0.29691	0.018904	0.001789	0.238879	0.442086	4.378216	0.986891	0.986465	0.984963	0.984386	0.983951	0.983487	0.98293	0.981661	3265454	12.46783	12.641881	12.823183	13.011738	13.211896	14.36063	15.122828	0.261042	0.985935	19			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	3108	0
1	101	0
2	55	0
3	102	209
4	50	2722
5	45	12139
6	22	25611
7	28	0
8	37	0
9	17	0
10	19	225986
11	17	0
12	20	0
13	15	0
14	10	0
15	5	0
16	11	0
17	13	0
18	15	0
19	12	0
20	15	563548
21	8	0
22	13	0
23	9	0
24	12	0
25	9	0
26	10	0
27	8	0
28	7	0
29	12	0
30	8	45667865
31	9	0
32	12	0
33	11	0
34	5	0
35	8	0
36	11	0
37	16	0
38	17	0
39	13	0
40	8	0
41	12	0
42	6	0
43	14	0
44	10	0
45	12	0
46	16	0
47	17	0
48	20	0
49	17	0
50	20	0
51	6	0
52	2	0
53	8	0
54	1	0
55	13	0
56	4	0
57	5	0
58	4	0
59	5	0
60	5	0
61	6	0
62	8	0
63	4	0
64	4	0
65	1	0
66	7	0
67	3	0
68	5	0
69	3	0
70	4	0
71	4	0
72	5	0
73	7	0
74	1	0
75	4	0
76	4	0
77	7	0
78	4	0
79	6	0
80	5	0
81	3	0
82	7	0
83	6	0
84	7	0
85	4	0
86	10	0
87	5	0
88	4	0
89	7	0
90	9	0
91	4	0
92	6	0
93	5	0
94	8	0
95	9	0
96	7	0
97	6	0
98	14	0
99	15	0
100	26	0
101	18	0
102	2	0
103	9	0
104	8	0
105	8	0
106	15	0
107	4	0
108	9	0
109	27	0
110	12	0
111	10	0
112	20	0
113	10	0
114	18	0
115	9	0
116	16	0
117	20	0
118	12	0
119	11	0
120	12	0
121	16	0
122	12	0
123	15	0
124	12	0
125	9	0
126	15	0
127	13	0
128	12	0
129	10	0
130	16	0
131	16	0
132	17	0
133	13	0
134	9	0
135	16	0
136	13	0
137	20	0
138	14	0
139	21	0
140	21	0
141	25	0
142	16	0
143	16	0
144	22	0
145	16	0
146	21	0
147	23	0
148	25	0
149	26	0
150	27	0
151	20	0
152	21	0
153	27	0
154	33	0
155	23	0
156	31	0
157	30	0
158	25	0
159	24	0
160	16	0
161	32	0
162	27	0
163	21	0
164	19	0
165	32	0
166	29	0
167	30	0
168	20	0
169	19	0
170	25	0
171	24	0
172	35	0
173	26	0
174	37	0
175	34	0
176	27	0
177	45	0
178	40	0
179	44	0
180	32	0
181	44	0
182	41	0
183	44	0
184	36	0
185	40	0
186	64	0
187	47	0
188	52	0
189	57	0
190	63	0
191	72	0
192	64	0
193	64	0
194	63	0
195	63	0
196	51	0
197	64	0
198	62	0
199	67	0
200	230051	0

