## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/gscmnt/gc2585/fulton/model_data/4296a7bf70ef434e9e22fa872e39ac80/build49f0d22e06294f64a445441cde0e6a86/results/tmptYaE9U/InsertSizeHistogram.pdf INPUT=/gscmnt/gc2585/fulton/model_data/4296a7bf70ef434e9e22fa872e39ac80/build49f0d22e06294f64a445441cde0e6a86/results/tmpibisac/stg1a5c9029-b95f-4197-8a9f-268130c5c606/final.cram OUTPUT=/gscmnt/gc2585/fulton/model_data/4296a7bf70ef434e9e22fa872e39ac80/build49f0d22e06294f64a445441cde0e6a86/results/tmptYaE9U/InsertSizeMetrics.txt REFERENCE_SEQUENCE=/gscmnt/gc2560/core/model_data/2887491634/build50f99e75d14340ffb5b7d21b03887637/all_sequences.fa    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 02 21:13:45 CDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
175	40	2	221457821	185.790528	62.680678	2027718	FR	17	31	47	63	81	99	119	145	199	399			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	2
3	1
6	1
7	1
8	1
9	1
12	1
13	1
16	2
17	4
19	22
20	11
21	11
22	10
23	10
24	13
25	7
26	7
27	11
28	6
29	4
30	5
31	7
32	8
33	5
34	6
35	5
36	10
37	7
38	5
39	10
40	8
41	9
42	6
43	11
44	12
45	18
46	15
47	18
48	20
49	24
50	24
51	29
52	40
53	45
54	52
55	69
56	64
57	68
58	86
59	105
60	127
61	121
62	133
63	186
64	207
65	204
66	230
67	275
68	331
69	367
70	389
71	439
72	516
73	584
74	607
75	673
76	771
77	887
78	882
79	1010
80	1101
81	1287
82	1387
83	1530
84	1643
85	1793
86	1966
87	2218
88	2343
89	2657
90	2849
91	3120
92	3146
93	3470
94	3671
95	4083
96	4273
97	4594
98	4967
99	5253
100	5461
101	5795
102	6202
103	6484
104	6801
105	7088
106	7596
107	8040
108	8070
109	8572
110	8771
111	9304
112	9465
113	9939
114	10156
115	10577
116	10846
117	10975
118	11208
119	11784
120	11761
121	12096
122	12181
123	12594
124	12627
125	12987
126	12894
127	13245
128	13565
129	13624
130	13532
131	13735
132	13964
133	14067
134	14030
135	14052
136	14376
137	14452
138	14503
139	14501
140	14667
141	14473
142	14717
143	14411
144	14637
145	14549
146	14732
147	14721
148	14752
149	14790
150	14734
151	14686
152	14786
153	14717
154	14578
155	14549
156	14514
157	14395
158	14562
159	14467
160	14366
161	14259
162	14304
163	14339
164	14454
165	14184
166	13927
167	14064
168	13879
169	13971
170	13772
171	13844
172	13651
173	13601
174	13479
175	13262
176	13034
177	13407
178	13102
179	12990
180	13034
181	12830
182	12702
183	12527
184	12508
185	12413
186	12330
187	12317
188	11942
189	11991
190	11870
191	11592
192	11754
193	11414
194	11393
195	11129
196	11109
197	11121
198	10898
199	10937
200	10785
201	10567
202	10517
203	10467
204	10075
205	10100
206	10178
207	9977
208	9788
209	9628
210	9541
211	9365
212	9461
213	9253
214	9041
215	8978
216	9008
217	8615
218	8721
219	8615
220	8602
221	8365
222	8302
223	8279
224	7953
225	8153
226	7856
227	7804
228	7727
229	7609
230	7527
231	7213
232	7129
233	7148
234	6986
235	6979
236	6916
237	6985
238	6609
239	6632
240	6461
241	6473
242	6265
243	6222
244	6167
245	6094
246	5799
247	5856
248	5792
249	5592
250	5607
251	5567
252	5450
253	5390
254	5375
255	5052
256	5094
257	5032
258	4910
259	4948
260	4686
261	4577
262	4554
263	4590
264	4407
265	4359
266	4335
267	4291
268	4117
269	4107
270	4023
271	3968
272	3927
273	3827
274	3860
275	3885
276	3735
277	3642
278	3665
279	3484
280	3492
281	3433
282	3353
283	3249
284	3225
285	3136
286	3125
287	3083
288	3024
289	2883
290	2889
291	2844
292	2791
293	2647
294	2680
295	2677
296	2564
297	2519
298	2496
299	2496
300	2415
301	2305
302	2291
303	2294
304	2268
305	2131
306	2085
307	2109
308	2143
309	2025
310	1952
311	1929
312	1922
313	1891
314	1794
315	1789
316	1753
317	1697
318	1749
319	1661
320	1586
321	1631
322	1551
323	1605
324	1559
325	1512
326	1445
327	1433
328	1389
329	1341
330	1347
331	1340
332	1312
333	1283
334	1254
335	1184
336	1230
337	1148
338	1173
339	1137
340	1082
341	1079
342	1083
343	1032
344	1060
345	978
346	948
347	933
348	922
349	887
350	918
351	869
352	828
353	882
354	827
355	779
356	768
357	738
358	723
359	750
360	725
361	666
362	720
363	679
364	643
365	613
366	620
367	655
368	617
369	555
370	505
371	560
372	579
373	548
374	531
375	514
376	475
377	487
378	468
379	461
380	479
381	467
382	408
383	397
384	398
385	373
386	427
387	376
388	368
389	348
390	341
391	361
392	327
393	351
394	322
395	289
396	295
397	279
398	287
399	275
400	260
401	260
402	271
403	247
404	233
405	246
406	211
407	230
408	223
409	232
410	203
411	205
412	199
413	201
414	175
415	192
416	182
417	174
418	153
419	176
420	151
421	157
422	157
423	153
424	157
425	134
426	140
427	126
428	123
429	139
430	105
431	117
432	112
433	100
434	93
435	125
436	95
437	90
438	83
439	103
440	106
441	65
442	98
443	86
444	91
445	83
446	72
447	72
448	77
449	62
450	71
451	71
452	65
453	71
454	58
455	63
456	47
457	62
458	53
459	47
460	58
461	46
462	51
463	53
464	46
465	53
466	41
467	39
468	41
469	41
470	38
471	47
472	49
473	35
474	26
475	36
476	28
477	35
478	32
479	32
480	28
481	25
482	26
483	31
484	31
485	22
486	20
487	21
488	33
489	18
490	27
491	27
492	25
493	25
494	20
495	19
496	16
497	17
498	19
499	10
500	17
501	21
502	9
503	14
504	11
505	12
506	23
507	16
508	12
509	10
510	10
511	6
512	8
513	9
514	10
515	9
516	9
517	12
518	7
519	8
520	5
521	3
522	4
523	2
524	10
525	9
526	8
527	6
528	9
529	4
530	7
531	6
532	7
533	4
534	6
535	9
536	5
537	2
538	2
539	5
540	3
541	3
542	10
543	8
544	2
545	5
546	5
547	3
548	4
549	3
550	7
551	7
552	4
553	3
554	4
555	3
556	3
557	3
558	5
559	2
560	2
561	3
562	2
564	4
565	5
566	1
567	3
568	1
569	2
570	1
571	4
573	2
574	2
575	1

