PF_ALIGNED_BASES	PCT_PF_READS	PF_INDEL_RATE	BAD_CYCLES	PCT_PF_READS_ALIGNED	CATEGORY	READ_GROUP	SAMPLE	PCT_CHIMERAS	MEAN_READ_LENGTH	PCT_PF_READS_IMPROPER_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_HQ_ERROR_RATE	LIBRARY	SOURCE_FILE	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	TOTAL_READS	PF_MISMATCH_RATE	PF_NOISE_READS	STRAND_BALANCE	PF_READS_ALIGNED	READS_ALIGNED_IN_PAIRS	PF_HQ_ALIGNED_Q20_BASES	PCT_ADAPTER	PF_HQ_MEDIAN_MISMATCHES	PF_READS	PF_READS_IMPROPER_PAIRS
411263680	1	0.000076	0	0.999675	FIRST_OF_PAIR			0.005371	151	0.009373	0.99843	0.002142		DIRECTORY/A.CollectAlignmentSummaryMetrics.txt	2860216	404048172	2915606	0.002179	0	0.500103	2914657	2910082	400666353	0.000226	0	2915606	27320
409596389	1	0.000079	0	0.998209	SECOND_OF_PAIR			0.006267	151	0.007919	0.999896	0.003086		DIRECTORY/A.CollectAlignmentSummaryMetrics.txt	2853510	402239105	2915606	0.003142	0	0.499329	2910384	2910082	397222409	0.000197	0	2915606	23047
820860069	1	0.000078	0	0.998942	PAIR			0.005818	151	0.008647	0.999163	0.002613		DIRECTORY/A.CollectAlignmentSummaryMetrics.txt	5713726	806287277	5831212	0.002659	0	0.499716	5825041	5820164	797888762	0.000211	0	5831212	50367
419965869	1	0.000086	0	0.99987	FIRST_OF_PAIR			0.009025	151	0.010307	0.999068	0.002335		DIRECTORY/B.CollectAlignmentSummaryMetrics.txt	2858890	412494026	2914023	0.00237	0	0.499887	2913643	2910928	408332217	0.000065	0	2914023	30031
418241484	1	0.00009	0	0.998993	SECOND_OF_PAIR			0.010086	151	0.009439	0.999945	0.0036		DIRECTORY/B.CollectAlignmentSummaryMetrics.txt	2854410	410651422	2914023	0.003652	0	0.499584	2911089	2910928	404116255	0.000068	0	2914023	27477
838207353	1	0.000088	0	0.999431	PAIR			0.009555	151	0.009873	0.999506	0.002966		DIRECTORY/B.CollectAlignmentSummaryMetrics.txt	5713300	823145448	5828046	0.00301	0	0.499736	5824732	5821856	812448472	0.000066	0	5828046	57508
418104150	1	0.000082	0	0.99983	FIRST_OF_PAIR			0.008856	151	0.011301	0.998465	0.002333		DIRECTORY/C.CollectAlignmentSummaryMetrics.txt	2849017	409603032	2911852	0.002381	0	0.499665	2911358	2906889	405677052	0.000106	0	2911852	32901
416234048	1	0.000087	0	0.998351	SECOND_OF_PAIR			0.009816	151	0.009836	0.999945	0.003544		DIRECTORY/C.CollectAlignmentSummaryMetrics.txt	2842024	407573704	2911852	0.003607	0	0.499781	2907050	2906889	401536510	0.000113	0	2911852	28593
834338198	1	0.000084	0	0.999091	PAIR			0.009336	151	0.010569	0.999204	0.002937		DIRECTORY/C.CollectAlignmentSummaryMetrics.txt	5691041	817176736	5823704	0.002992	0	0.499723	5818408	5813778	807213562	0.00011	0	5823704	61494
413642344	1	0.00008	0	0.999306	FIRST_OF_PAIR			0.009991	151	0.011181	0.998643	0.002175		DIRECTORY/D.CollectAlignmentSummaryMetrics.txt	2850437	405564298	2914075	0.002221	0	0.498871	2912053	2908102	402098077	0.000562	0	2914075	32559
412177810	1	0.000085	0	0.998112	SECOND_OF_PAIR			0.011035	151	0.009998	0.999838	0.002953		DIRECTORY/D.CollectAlignmentSummaryMetrics.txt	2844612	403944198	2914075	0.003019	0	0.500506	2908573	2908102	399440045	0.000539	0	2914075	29079
825820154	1	0.000083	0	0.998709	PAIR			0.010513	151	0.01059	0.99924	0.002563		DIRECTORY/D.CollectAlignmentSummaryMetrics.txt	5695049	809508496	5828150	0.002619	0	0.499688	5820626	5816204	801538122	0.00055	0	5828150	61638
