## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=/gscmnt/gc13028/info/build_merged_alignments/merged-alignment-blade14-4-12.gsc.wustl.edu-apipe-tester-10161-0cdedd6a88c9493d92540f42715e0695/0cdedd6a88c9493d92540f42715e0695.bam OUTPUT=/gscuser/ssiebert/tmp/mark-duplicates.out METRICS_FILE=sth REMOVE_DUPLICATES=false ASSUME_SORTED=true MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=972 TMP_DIR=/tmp/gm-genome_sys-2015-03-18_14_05_23--NBSw/Picard-wsSA VALIDATION_STRINGENCY=SILENT MAX_RECORDS_IN_RAM=500000    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Wed Mar 18 14:05:24 CDT 2015

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
H_HY-03023-lib1	48	2263	114	0	13	0	0.005684	196212

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.988533
3.0	2.96573
4.0	3.931721
5.0	4.886635
6.0	5.830599
7.0	6.763739
8.0	7.686178
9.0	8.598039
10.0	9.499443
11.0	10.390512
12.0	11.271362
13.0	12.142111
14.0	13.002875
15.0	13.853768
16.0	14.694905
17.0	15.526395
18.0	16.348351
19.0	17.160882
20.0	17.964094
21.0	18.758097
22.0	19.542994
23.0	20.318891
24.0	21.08589
25.0	21.844094
26.0	22.593604
27.0	23.334519
28.0	24.066938
29.0	24.790957
30.0	25.506675
31.0	26.214185
32.0	26.913582
33.0	27.604959
34.0	28.288408
35.0	28.964019
36.0	29.631883
37.0	30.292089
38.0	30.944724
39.0	31.589875
40.0	32.227628
41.0	32.858067
42.0	33.481278
43.0	34.097341
44.0	34.706341
45.0	35.308357
46.0	35.903469
47.0	36.491757
48.0	37.073299
49.0	37.648173
50.0	38.216454
51.0	38.778219
52.0	39.333542
53.0	39.882496
54.0	40.425156
55.0	40.961593
56.0	41.491879
57.0	42.016084
58.0	42.534277
59.0	43.046529
60.0	43.552906
61.0	44.053477
62.0	44.548307
63.0	45.037463
64.0	45.52101
65.0	45.999012
66.0	46.471533
67.0	46.938635
68.0	47.400381
69.0	47.856832
70.0	48.308048
71.0	48.754091
72.0	49.195019
73.0	49.63089
74.0	50.061763
75.0	50.487695
76.0	50.908744
77.0	51.324963
78.0	51.73641
79.0	52.143139
80.0	52.545204
81.0	52.942658
82.0	53.335555
83.0	53.723946
84.0	54.107883
85.0	54.487418
86.0	54.8626
87.0	55.233481
88.0	55.600108
89.0	55.962531
90.0	56.320798
91.0	56.674957
92.0	57.025054
93.0	57.371137
94.0	57.713252
95.0	58.051443
96.0	58.385756
97.0	58.716236
98.0	59.042925
99.0	59.365869
100.0	59.685109

